time_step,timestamp,P_cmd,total_P_actual,total_available_energy,total_available_power,P_氢燃料电池,SOC_氢燃料电池,E_available_氢燃料电池,P_铁硫电池,SOC_铁硫电池,E_available_铁硫电池,P_钠电池,SOC_钠电池,E_available_钠电池,P_钒液流电池,SOC_钒液流电池,E_available_钒液流电池
68,2025-12-13 09:29:21.740879,-20.23721418398264,-20.23721418398264,201.0335525979406,88,-10.191436277889801,79.52019854894537,95.42423825873445,-0.8491220355890254,84.52229695316213,8.452229695316213,-8.35421816865117,89.69121094699976,89.69121094699976,-0.8424377018526404,74.60482478980812,7.460482478980812
69,2025-12-13 09:29:22.740879,-20.419758204099324,-20.419758204099324,201.02816138003126,88,-10.283344286217673,79.51793716536392,95.4215245984367,-0.8567737682707001,84.52010742019877,8.452010742019876,-8.429614776983298,89.6889162185327,89.6889162185327,-0.850025372627653,74.60269972637656,7.460269972637655
70,2025-12-13 09:29:23.740879,44.33318242787103,44.33318242787103,201.02272153162693,88,24.07449786946334,79.51207105964524,95.41448527157429,1.8377431976007093,84.51455867866012,8.451455867866013,16.74895228524975,89.6841687830777,89.6841687830777,1.671989075557231,74.5975392662668,7.459753926626681
71,2025-12-13 09:29:24.740879,44.731113126755695,44.731113126755695,201.0098638491447,88,24.290568981473353,79.50615230502012,95.40738276602416,1.8542311731898027,84.50896015458648,8.450896015458648,16.899326859573254,89.67937872444404,89.67937872444404,1.6869861125192833,74.59233251900595,7.459233251900596
72,2025-12-13 09:29:25.740879,43.38920177038818,43.389201770388176,200.99689075782746,88,23.561844853323517,79.50041111475372,95.40049333770446,1.7985978655549453,84.5035296054755,8.45035296054755,16.392392054898238,89.67473235481397,89.67473235481397,1.636366996611475,74.5872820035843,7.458728200358431
73,2025-12-13 09:29:26.740879,40.42499684734661,40.42499684734662,200.98430685342439,88,21.952161342671463,79.49506214756495,95.39407457707794,1.6757170990198873,84.4984700731717,8.449847007317171,15.272551887692002,89.67040340019727,89.67040340019727,1.5245665179632617,74.58257655136838,7.458257655136837
74,2025-12-13 09:29:27.740879,37.35738029381172,37.35738029381172,200.97258263972924,88,20.28632541591752,79.49011908581643,95.38814290297972,1.5485510599068169,84.4937944963,8.44937944963,14.113635800803724,89.66640293653491,89.66640293653491,1.4088680171836585,74.57822819329066,7.457822819329065
75,2025-12-13 09:29:28.740879,36.568722423073396,36.5687224230734,200.9617481084737,88,19.858044029383265,79.4852803811309,95.38233645735708,1.5158542111207107,84.48921764179782,8.448921764179783,13.815706309032358,89.66248692000741,89.66248692000741,1.3791178735370673,74.57397165664393,7.457397165664394
76,2025-12-13 09:29:29.740879,34.8086956222043,34.8086956222043,200.95114230720867,88,18.902277902910697,79.48067456292844,95.37680947551414,1.4428924376729222,84.48486108250533,8.448486108250533,13.150790177237132,89.65875937177123,89.65875937177123,1.3127351043835476,74.5699200050872,7.45699200050872
77,2025-12-13 09:29:30.740879,33.83025417769873,33.83025417769872,200.9410469560446,88,18.3709401505096,79.47619821298923,95.37143785558709,1.4023295933378865,84.48062699556893,8.448062699556893,12.781155435090229,89.65513659528736,89.65513659528736,1.2758289987610099,74.56598226126385,7.456598226126385
